#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Nueva_Pos,Steps_Remaining,K,Alive
1,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",9,10,True
2,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",8,10,True
3,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",7,10,True
4,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",6,10,True
5,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",5,10,True
6,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",4,10,True
7,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",3,10,True
8,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",2,10,True
9,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",1,10,True
10,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",10,10,True
11,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",9,10,True
12,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",8,10,True
13,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",7,10,True
14,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",6,10,True
15,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",5,10,True
16,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",4,10,True
17,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",3,10,True
18,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",2,10,True
19,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",1,10,True
20,"[2, 3, 1]",0,0,-1,0,-1,0,,0.1,,wait,"[2, 3, 1]",10,10,True
21,"[2, 3, 1]",,,,,,,,0.1,,death_by_robot,"[2, 3, 1]",10,10,False
