#,Pos,Orientacion,Energometro,Lado1_Top,Lado2_Left,Vacuoscopio_Front,Lado0_Front,Roboscanner_Front,Lado3_Right,Lado4_Down,Regla,Nueva_Accion,Nueva_Pos,Accion_Memoria,Usa_Memoria?,Usa_Regla?
1,"[2,3,1]","[0,0,1]",0,0,0,0,0,0,0,0,2,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[2,3,2]",,0,1
2,"[2,3,2]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[2,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
3,"[2,3,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[2,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
4,"[2,3,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[2,3,3]",,0,1
5,"[2,3,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[2,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
6,"[1,3,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
7,"[1,3,3]","[-1,0,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
8,"[1,3,3]","[0,-1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
9,"[1,3,3]","[0,-1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
10,"[1,3,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
11,"[1,3,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
12,"[1,3,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
13,"[1,3,3]","[0,1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,3]",,0,1
14,"[1,3,3]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
15,"[1,3,2]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,3]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
16,"[1,3,1]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,2]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
17,"[1,3,1]","[0,0,-1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}","[1,3,1]",,0,1
18,"[1,3,1]","[0,-1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,3,2]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
19,"[1,2,1]","[0,-1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,2,2]","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
20,"[1,1,1]","[0,-1,0]",0,0,1,0,0,0,0,0,5,"{""tipo"": ""move"", ""directions"": [""y+90""]}","[1,1,1]",,0,1
21,"[1,1,1]","[1,0,0]",0,0,0,0,1,0,0,0,3,"{""tipo"": ""move"", ""directions"": [""z+90""]}","[1,1,2]",,0,1
22,"[2,1,1]","[1,0,0]",1,0,0,0,0,0,0,0,1,"{""tipo"": ""destroy""}","[2,1,1]",,0,1
