#,Pos,Top,Left,Front,Right,Down,Behind,n_free,p,Regla,Accion,Steps_Remaining,K,Alive
1,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,9,10,True
2,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,8,10,True
3,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,7,10,True
4,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,6,10,True
5,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,5,10,True
6,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,4,10,True
7,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,3,10,True
8,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,2,10,True
9,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,1,10,True
10,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,10,10,True
11,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,9,10,True
12,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,8,10,True
13,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,7,10,True
14,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,6,10,True
15,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,5,10,True
16,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,4,10,True
17,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,3,10,True
18,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,2,10,True
19,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,1,10,True
20,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,10,10,True
21,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,9,10,True
22,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,8,10,True
23,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,7,10,True
24,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,6,10,True
25,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,5,10,True
26,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,4,10,True
27,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,3,10,True
28,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,2,10,True
29,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,1,10,True
30,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,10,10,True
31,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,9,10,True
32,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,8,10,True
33,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,7,10,True
34,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,6,10,True
35,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,5,10,True
36,"[1, 3, 2]",-1,-1,-1,0,0,0,,0.1,,wait,4,10,True
