#,Pos,Orientacion,Energometro,Lado1_Top,Lado2_Left,Vacuoscopio_Front,Lado0_Front,Roboscanner_Front,Lado3_Right,Lado4_Down,Regla,Nueva_Accion,Accion_Memoria,Usa_Memoria?,Usa_Regla?
1,"[1,2,2]","[0,0,1]",0,0,0,0,0,0,0,0,2,"{""tipo"": ""move"", ""directions"": [""z+90""]}",,0,1
2,"[1,2,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
3,"[1,2,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
4,"[1,2,3]","[1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
5,"[2,2,3]","[1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
6,"[2,2,3]","[1,0,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
7,"[2,2,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
8,"[2,2,3]","[0,1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
9,"[2,2,3]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
10,"[2,2,2]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
11,"[2,2,1]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
12,"[2,2,1]","[0,0,-1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
13,"[2,2,1]","[1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
14,"[3,2,1]","[1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
15,"[3,2,1]","[1,0,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
16,"[3,2,1]","[0,-1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
17,"[3,1,1]","[0,-1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
18,"[3,1,1]","[0,-1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
19,"[3,1,1]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
20,"[3,1,2]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
21,"[3,1,3]","[0,0,1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
22,"[3,1,3]","[0,0,1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
23,"[3,1,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
24,"[2,1,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
25,"[1,1,3]","[-1,0,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
26,"[1,1,3]","[-1,0,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
27,"[1,1,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
28,"[1,2,3]","[0,1,0]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
29,"[1,2,3]","[0,1,0]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
30,"[1,2,3]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
31,"[1,2,2]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
32,"[1,2,1]","[0,0,-1]",0,0,0,0,0,0,0,0,0,"{""tipo"": ""move"", ""directions"": [""z+90""]}","{""tipo"": ""move"", ""directions"": [""z+90""]}",1,0
33,"[1,2,1]","[0,0,-1]",0,0,0,-1,0,0,0,0,35,"{""tipo"": ""move_random"", ""directions"": [""x+90"", ""y+90"", ""y-90"", ""x-90""], ""probability"": 0.25}",,0,1
34,"[1,2,1]","[1,0,0]",0,0,0,0,0,0,1,0,4,"{""tipo"": ""move"", ""directions"": [""y-90""]}",,0,1
35,"[1,2,1]","[0,-1,0]",0,0,0,0,1,0,0,0,3,"{""tipo"": ""move"", ""directions"": [""z+90""]}",,0,1
36,"[1,1,1]","[0,-1,0]",1,0,0,0,0,0,0,0,1,"{""tipo"": ""destroy""}",,0,1
